CI_Name_aff,Service_Component_WBS_aff,Impact,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
APP000005,WBS000292,4 Low,4 Low,KM0001060,1.0,0.0,0.0,0,7,Tuesday,application-Citrix
DSK000457,WBS000187,5 Very Low,5 Very Low,KM0001446,1.0,0.0,0.0,1,8,Tuesday,computer-Desktop
SBA000263,WBS000072,5 Very Low,5 Very Low,KM0000644,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
SBA000154,WBS000027,5 Very Low,5 Very Low,KM0001291,1.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
LAP000019,WBS000091,5 Very Low,5 Very Low,KM0000315,1.0,0.0,0.0,0,8,Tuesday,computer-Laptop
SBA000025,WBS000006,3 Medium,3 Medium,KM0000029,3.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
WBA000058,WBS000073,4 Low,4 Low,KM0001245,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
CBD000615,WBS000146,3 Medium,3 Medium,KM0000268,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
SBA000338,WBS000169,4 Low,4 Low,KM0000327,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
SBA000698,WBS000090,4 Low,4 Low,KM0001526,1.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
SBA000028,WBS000030,4 Low,4 Low,KM0000283,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
SBA000805,WBS000016,3 Medium,3 Medium,KM0000938,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
CNT000004,WBS000182,3 Medium,3 Medium,KM0001141,1.0,0.0,0.0,0,8,Tuesday,storage-Controller
APP000005,WBS000292,4 Low,4 Low,KM0001131,1.0,0.0,0.0,1,7,Tuesday,application-Citrix
APP000005,WBS000292,4 Low,4 Low,KM0001131,1.0,0.0,0.0,1,8,Tuesday,application-Citrix
CBD000515,WBS000146,3 Medium,3 Medium,KM0000280,1.0,0.0,0.0,1,8,Tuesday,computer-Banking Device
WBA000148,WBS000172,3 Medium,3 Medium,KM0001979,1.0,0.0,0.0,0,8,Tuesday,application-Web Based Application
OVR000033,WBS000118,5 Very Low,5 Very Low,KM0001172,1.0,0.0,1.0,0,8,Tuesday,no type-no subtype
DTA000056,WBS000091,4 Low,4 Low,KM0002040,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
WBA000148,WBS000172,3 Medium,3 Medium,KM0001979,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
SUB000113,WBS000095,4 Low,4 Low,KM0001345,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
SBA000025,WBS000006,3 Medium,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBA000077,WBS000153,5 Very Low,5 Very Low,KM0000412,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
SBA000626,WBS000255,5 Very Low,5 Very Low,KM0000588,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBA000148,WBS000172,5 Very Low,5 Very Low,KM0001979,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
CBD000911,WBS000146,2 High,2 High,KM0000491,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
CBD000910,WBS000146,2 High,2 High,KM0000491,1.0,0.0,0.0,0,10,Tuesday,computer-Banking Device
SUB000450,WBS000047,4 Low,4 Low,KM0000299,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
SBA000458,WBS000073,4 Low,4 Low,KM0001541,1.0,0.0,0.0,1,10,Tuesday,application-Server Based Application
WBA000094,WBS000073,4 Low,4 Low,KM0001732,1.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
SUB000456,WBS000073,4 Low,4 Low,KM0000752,1.0,0.0,0.0,0,10,Tuesday,subapplication-Web Based Application
WBA000009,WBS000168,5 Very Low,5 Very Low,KM0000994,1.0,0.0,0.0,0,10,Tuesday,application-Web Based Application
CBA000014,WBS000073,4 Low,4 Low,KM0001692,1.0,0.0,0.0,0,8,Tuesday,application-Client Based Application
DSK000245,WBS000187,5 Very Low,5 Very Low,KM0001446,2.0,0.0,0.0,1,8,Tuesday,computer-Desktop
SAN000184,WBS000128,4 Low,4 Low,KM0000919,1.0,0.0,0.0,1,8,Tuesday,storage-SAN
WBA000148,WBS000172,2 High,2 High,KM0001979,1.0,0.0,0.0,0,8,Tuesday,application-Web Based Application
DTA000036,WBS000093,4 Low,4 Low,KM0000353,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
SUB000445,WBS000073,4 Low,4 Low,KM0001450,1.0,0.0,0.0,0,8,Tuesday,subapplication-Web Based Application
DTA000616,WBS000092,4 Low,4 Low,KM0000506,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
OVR000033,WBS000118,5 Very Low,5 Very Low,KM0001172,1.0,0.0,1.0,0,9,Tuesday,no type-no subtype
SBA000025,WBS000006,3 Medium,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
CBA000009,WBS000098,4 Low,4 Low,KM0001209,1.0,0.0,0.0,1,9,Tuesday,application-Client Based Application
DTA000048,WBS000218,4 Low,4 Low,KM0000905,1.0,0.0,0.0,1,9,Tuesday,application-Desktop Application
SBA000025,WBS000006,3 Medium,3 Medium,KM0000029,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBA000133,WBS000073,4 Low,5 Very Low,KM0000711,1.0,0.0,0.0,1,9,Tuesday,application-Web Based Application
