Service_Component_WBS_aff,Urgency,KM_number,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff,RelatedIncidents,RelatedChanges,RelatedInteractions
WBS000292,4 Low,KM0001060,0,7,Tuesday,application-Citrix,None,None,One (1)
WBS000187,5 Very Low,KM0001446,1,8,Tuesday,computer-Desktop,None,None,One (1)
WBS000072,5 Very Low,KM0000644,1,8,Tuesday,application-Server Based Application,None,None,One (1)
WBS000027,5 Very Low,KM0001291,0,8,Tuesday,application-Server Based Application,None,None,One (1)
WBS000091,5 Very Low,KM0000315,0,8,Tuesday,computer-Laptop,None,None,One (1)
WBS000006,3 Medium,KM0000029,0,8,Tuesday,application-Server Based Application,None,None,Few (2-5)
WBS000073,4 Low,KM0001245,0,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,0,9,Tuesday,computer-Banking Device,None,None,One (1)
WBS000169,4 Low,KM0000327,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000090,4 Low,KM0001526,0,8,Tuesday,application-Server Based Application,None,None,One (1)
WBS000030,4 Low,KM0000283,1,8,Tuesday,application-Server Based Application,None,None,One (1)
WBS000016,3 Medium,KM0000938,1,8,Tuesday,application-Server Based Application,None,None,One (1)
WBS000182,3 Medium,KM0001141,0,8,Tuesday,storage-Controller,None,None,One (1)
WBS000292,4 Low,KM0001131,1,7,Tuesday,application-Citrix,None,None,One (1)
WBS000292,4 Low,KM0001131,1,8,Tuesday,application-Citrix,None,None,One (1)
WBS000146,3 Medium,KM0000280,1,8,Tuesday,computer-Banking Device,None,None,One (1)
WBS000172,3 Medium,KM0001979,0,8,Tuesday,application-Web Based Application,None,None,One (1)
WBS000118,5 Very Low,KM0001172,0,8,Tuesday,no type-no subtype,None,One,One (1)
WBS000091,4 Low,KM0002040,0,8,Tuesday,application-Desktop Application,None,None,One (1)
WBS000172,3 Medium,KM0001979,0,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000095,4 Low,KM0001345,0,9,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000006,3 Medium,KM0000029,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000153,5 Very Low,KM0000412,0,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000255,5 Very Low,KM0000588,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000172,5 Very Low,KM0001979,1,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000146,2 High,KM0000491,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000146,2 High,KM0000491,0,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000047,4 Low,KM0000299,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001541,1,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0001732,0,10,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000752,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000168,5 Very Low,KM0000994,0,10,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001692,0,8,Tuesday,application-Client Based Application,None,None,One (1)
WBS000187,5 Very Low,KM0001446,1,8,Tuesday,computer-Desktop,None,None,Few (2-5)
WBS000128,4 Low,KM0000919,1,8,Tuesday,storage-SAN,None,None,One (1)
WBS000172,2 High,KM0001979,0,8,Tuesday,application-Web Based Application,None,None,One (1)
WBS000093,4 Low,KM0000353,0,8,Tuesday,application-Desktop Application,None,None,One (1)
WBS000073,4 Low,KM0001450,0,8,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000092,4 Low,KM0000506,0,8,Tuesday,application-Desktop Application,None,None,One (1)
WBS000118,5 Very Low,KM0001172,0,9,Tuesday,no type-no subtype,None,One,One (1)
WBS000006,3 Medium,KM0000029,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000098,4 Low,KM0001209,1,9,Tuesday,application-Client Based Application,None,None,One (1)
WBS000218,4 Low,KM0000905,1,9,Tuesday,application-Desktop Application,None,None,One (1)
WBS000006,3 Medium,KM0000029,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000073,5 Very Low,KM0000711,1,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,9,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000318,4 Low,KM0001401,1,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000027,3 Medium,KM0001299,0,9,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000027,3 Medium,KM0001299,0,9,Tuesday,subapplication-Server Based Application,None,None,One (1)
WBS000073,4 Low,KM0000741,0,9,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000146,2 High,KM0000274,0,9,Tuesday,computer-Banking Device,None,None,One (1)
WBS000199,3 Medium,KM0000940,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,4 Low,KM0000274,1,9,Tuesday,computer-Banking Device,None,None,One (1)
WBS000073,4 Low,KM0001363,0,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,1,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000187,4 Low,KM0002055,0,10,Tuesday,computer-Laptop,None,None,One (1)
WBS000073,4 Low,KM0001346,0,10,Tuesday,application-Client Based Application,None,None,One (1)
WBS000146,3 Medium,KM0000268,1,10,Tuesday,computer-Banking Device,None,None,One (1)
WBS000125,5 Very Low,KM0001158,0,10,Tuesday,subapplication-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001314,1,10,Tuesday,application-Server Based Application,None,None,One (1)
WBS000268,4 Low,KM0000368,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000182,3 Medium,KM0001141,0,9,Tuesday,storage-Controller,None,None,One (1)
WBS000187,5 Very Low,KM0001447,0,9,Tuesday,computer-Laptop,None,None,One (1)
WBS000092,5 Very Low,KM0001625,0,9,Tuesday,application-Desktop Application,None,None,One (1)
WBS000187,4 Low,KM0002055,0,9,Tuesday,computer-Laptop,None,None,One (1)
WBS000267,3 Medium,KM0001141,0,9,Tuesday,hardware-DataCenterEquipment,None,None,One (1)
WBS000128,4 Low,KM0002059,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000172,4 Low,KM0001979,0,9,Tuesday,application-Web Based Application,None,None,One (1)
WBS000073,4 Low,KM0001692,0,9,Tuesday,application-Client Based Application,None,None,One (1)
WBS000128,4 Low,KM0002059,0,9,Tuesday,application-Server Based Application,None,None,One (1)
WBS000146,2 High,KM0000274,1,9,Tuesday,computer-Banking Device,None,None,One (1)
WBS000006,3 Medium,KM0000029,0,9,Tuesday,application-Server Based Application,None,None,More (>25)
