Service_Component_WBS_aff,Urgency,KM_number,Count_Related_Interactions,Count_Related_Incidents,Count_Related_Changes,SLAFail,Open_Time_HourOfDay,Open_Time_DayOfWeek,CI_TypeSubType_aff
WBS000292,4 Low,KM0001060,1.0,0.0,0.0,0,7,Tuesday,application-Citrix
WBS000187,5 Very Low,KM0001446,1.0,0.0,0.0,1,8,Tuesday,computer-Desktop
WBS000072,5 Very Low,KM0000644,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
WBS000027,5 Very Low,KM0001291,1.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
WBS000091,5 Very Low,KM0000315,1.0,0.0,0.0,0,8,Tuesday,computer-Laptop
WBS000006,3 Medium,KM0000029,3.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
WBS000073,4 Low,KM0001245,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
WBS000146,3 Medium,KM0000268,1.0,0.0,0.0,0,9,Tuesday,computer-Banking Device
WBS000169,4 Low,KM0000327,1.0,0.0,0.0,0,9,Tuesday,application-Server Based Application
WBS000090,4 Low,KM0001526,1.0,0.0,0.0,0,8,Tuesday,application-Server Based Application
WBS000030,4 Low,KM0000283,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
WBS000016,3 Medium,KM0000938,1.0,0.0,0.0,1,8,Tuesday,application-Server Based Application
WBS000182,3 Medium,KM0001141,1.0,0.0,0.0,0,8,Tuesday,storage-Controller
WBS000292,4 Low,KM0001131,1.0,0.0,0.0,1,7,Tuesday,application-Citrix
WBS000292,4 Low,KM0001131,1.0,0.0,0.0,1,8,Tuesday,application-Citrix
WBS000146,3 Medium,KM0000280,1.0,0.0,0.0,1,8,Tuesday,computer-Banking Device
WBS000172,3 Medium,KM0001979,1.0,0.0,0.0,0,8,Tuesday,application-Web Based Application
WBS000118,5 Very Low,KM0001172,1.0,0.0,1.0,0,8,Tuesday,no type-no subtype
WBS000091,4 Low,KM0002040,1.0,0.0,0.0,0,8,Tuesday,application-Desktop Application
WBS000172,3 Medium,KM0001979,1.0,0.0,0.0,0,9,Tuesday,application-Web Based Application
WBS000095,4 Low,KM0001345,1.0,0.0,0.0,0,9,Tuesday,subapplication-Server Based Application
