,1 SelectKBest,2 SelectFPR,3 Interaction Terms SelectKBest,4 Interaction Terms SelectFPR
Null Accuracy,0.7048187068067784,0.7048187068067784,,
Metrics - Classification Report,"              precision    recall  f1-score   support

           0       0.78      0.89      0.83      7445
           1       0.60      0.41      0.49      3118

    accuracy                           0.75     10563
   macro avg       0.69      0.65      0.66     10563
weighted avg       0.73      0.75      0.73     10563
","              precision    recall  f1-score   support

           0       0.78      0.89      0.83      7445
           1       0.60      0.41      0.49      3118

    accuracy                           0.75     10563
   macro avg       0.69      0.65      0.66     10563
weighted avg       0.73      0.75      0.73     10563
","              precision    recall  f1-score   support

           0       0.79      0.89      0.83      7445
           1       0.62      0.42      0.50      3118

    accuracy                           0.75     10563
   macro avg       0.70      0.66      0.67     10563
weighted avg       0.74      0.75      0.74     10563
","              precision    recall  f1-score   support

           0       0.78      0.89      0.83      7445
           1       0.61      0.42      0.49      3118

    accuracy                           0.75     10563
   macro avg       0.70      0.65      0.66     10563
weighted avg       0.73      0.75      0.73     10563
"
Metrics - Confusion Matrix,"[[6597  848]
 [1826 1292]]","[[6597  848]
 [1827 1291]]","[[6628  817]
 [1805 1313]]","[[6607  838]
 [1822 1296]]"
Metrics - Confusion Matrix Classification Accuracy,0.7468522200132538,0.7467575499384644,0.7517750639023005,0.7481776010603048
Metrics - Confusion Matrix Classification Error,0.2531477799867462,0.25324245006153556,0.24822493609769947,0.25182239893969516
Metrics - Confusion Matrix True Positive Rate,0.4143681847338037,0.414047466324567,0.4211032713277742,0.4156510583707505
Metrics - Confusion Matrix True Negative Rate,0.8860980523841504,0.8860980523841504,0.8902619207521827,0.887441235728677
Metrics - Confusion Matrix False Positive Rate,0.11390194761584957,0.11390194761584957,0.10973807924781732,0.11255876427132304
Metrics - Confusion Matrix Precision,0.6037383177570094,0.6035530621785882,0.6164319248826291,0.6073102155576382
Metrics - AUC,0.7806294265709925,0.7806632430855996,0.7866722869570348,0.782094823230093
Metrics - ROC Curve fpr array,[0.         0.         0.         ... 0.99946273 0.99973136 1.        ],[0.         0.         0.         ... 0.99946273 0.99973136 1.        ],"[0.00000000e+00 1.34318334e-04 2.68636669e-04 ... 9.99731363e-01
 9.99731363e-01 1.00000000e+00]","[0.00000000e+00 1.34318334e-04 4.02955003e-04 ... 9.99731363e-01
 9.99731363e-01 1.00000000e+00]"
Metrics - ROC Curve tpr array,"[0.00000000e+00 3.20718409e-04 2.88646568e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 3.20718409e-04 2.88646568e-03 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",[0.         0.         0.         ... 0.99967928 1.         1.        ],[0.         0.         0.         ... 0.99967928 1.         1.        ]
Column Transforms,,"['woeencoder', 'standardscaler']","[('woeencoder', WOEEncoder(cols=None, drop_invariant=False, handle_missing='value',
           handle_unknown='value', random_state=None, randomized=False,
           regularization=1.0, return_df=True, sigma=0.05, verbose=0), Index(['Service_Component_WBS_aff', 'Urgency', 'KM_number',
       'Open_Time_HourOfDay', 'Open_Time_DayOfWeek', 'CI_TypeSubType_aff'],
      dtype='object')), ('standardscaler', StandardScaler(copy=True, with_mean=True, with_std=True), Index(['Count_Related_Interactions', 'Count_Related_Incidents',
       'Count_Related_Changes'],
      dtype='object'))]","[('woeencoder', WOEEncoder(cols=None, drop_invariant=False, handle_missing='value',
           handle_unknown='value', random_state=None, randomized=False,
           regularization=1.0, return_df=True, sigma=0.05, verbose=0), Index(['Service_Component_WBS_aff', 'Urgency', 'KM_number',
       'Open_Time_HourOfDay', 'Open_Time_DayOfWeek', 'CI_TypeSubType_aff'],
      dtype='object')), ('standardscaler', StandardScaler(copy=True, with_mean=True, with_std=True), Index(['Count_Related_Interactions', 'Count_Related_Incidents',
       'Count_Related_Changes'],
      dtype='object'))]"
Selector,,"SelectFpr(alpha=0.05, score_func=<function f_classif at 0x1a214aae60>)","SelectKBest(k=45, score_func=<function f_classif at 0x1a214aae60>)","SelectFpr(alpha=0.05, score_func=<function f_classif at 0x1a214aae60>)"
Classifier,,"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)","LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l2',
                   random_state=None, solver='lbfgs', tol=0.0001, verbose=0,
                   warm_start=False)"
Classifier - Intercept,,-0.9376094581875354,,-0.9161546666017198
Classifier - Coefficients,,"                                   0
Service_Component_WBS_aff   0.104001
Urgency                     0.188064
KM_number                   1.121735
Count_Related_Interactions  1.172629
Count_Related_Incidents     1.245934
Count_Related_Changes       0.038820
Open_Time_HourOfDay         0.182436
Open_Time_DayOfWeek        -0.035750",,"[ 0.15531191  0.2640625   1.12477936  1.30657131  1.2914163   0.04352038
  0.2637966  -0.01366535 -0.17283283 -0.09059925  0.41040724 -0.01682171
  0.09571744  0.02808663 -0.09640587 -0.53453846 -0.18849206 -0.01286896
  0.11783178  1.69698495 -0.32302769 -0.13315008 -0.00987757  0.04285507
  0.03881677]"
Name,,,Optimize Round 3: Adding Interaction Terms,Optimize Round 4: Adding Interaction Terms with SelectFpr
Best Estimator Classification Intercept,,,[-0.90415783],
Best Estimator Classification Coefficients,,,"[[ 1.59293354e-01  2.91368383e-01  1.11916076e+00  1.35144148e+00
   1.32715945e+00  5.55074960e-02  6.52223487e-01  4.12747947e-02
  -2.23711213e-02 -7.06769881e-02 -8.62674909e-02  5.39840844e-01
  -1.45471602e-02  1.39538363e-01  1.26602364e-01  1.19745197e-01
  -4.21114140e-02 -5.79452623e-02 -1.42263843e-01 -1.99340922e-01
  -4.80149840e-01  6.53363482e-01 -4.52856027e-02 -4.90327229e-04
  -5.64893436e-01 -2.03455219e-01 -7.12555558e-02 -4.06959906e-03
  -7.27932745e-02  5.94271895e-02  1.63117229e+00 -2.67207424e-01
   1.67434428e+00 -4.41346203e-02  1.62837382e-03  8.02638862e-02
   7.85155008e-01 -1.36917851e-01 -1.42411097e-01  8.68015178e-02
   1.48028904e-01  8.06941782e-02 -2.01599716e-02 -4.43875605e-02
   1.83345568e-02]]",
Best SearchGridCV score,,,0.7446540880503145,
Best SearchGridCV parameters,,,{'selector__k': 45},
PolynomialFeatures,,,"PolynomialFeatures(degree=2, include_bias=True, interaction_only=True,
                   order='C')","PolynomialFeatures(degree=2, include_bias=True, interaction_only=True,
                   order='C')"
